Year,G,AG,ARI,IAB,ATL,AC,BBS,BEG,BLA,BAL,BBB,BOS,BRG,CAG,CHC,COG,CHW,CIN,CT,CBN,CBE,CCU,CEL,CG,CLE,CHT,CRS,CLS,CTS,CTG,COL,CBB,COB,COT,CSE,CSW,DM,DS,DTS,DET,DW,HBG,HIL,HG,HOU,ABC,ID,IA,IC,JRC,KCM,KCR,LRG,LAA,LAD,LVB,MRS,MIA,MB,MIL,MIN,MRM,MGS,NBY,NYC,NLG,NYM,NYY,NWB,ND,NE,NS,OAK,PBG,PHI,PS,PTG,TC,PK,PIT,CUP,SDP,SFG,SEA,STL,SLS,SL2,HAR,TBR,TEX,TT,TOR,SEN,WSN,WAP,WMP
2024,162,,89,,89,,,,,91,,81,,,83,,41,77,,,,,,,92,,,,,,61,,,,,,,,,86,,,,,88,,,,,,,86,,63,98,,,62,,93,82,,,,,,89,94,,,,,69,,95,,,,,76,,93,80,85,83,,,,80,78,,74,,71,,
2023,162,,84,,104,,,,,101,,78,,,83,,61,82,,,,,,,76,,,,,,59,,,,,,,,,78,,,,,90,,,,,,,56,,73,100,,,84,,92,87,,,,,,75,82,,,,,50,,90,,,,,76,,82,79,88,71,,,,99,90,,89,,71,,
2022,162,,74,,101,,,,,83,,78,,,74,,81,62,,,,,,,92,,,,,,68,,,,,,,,,66,,,,,106,,,,,,,65,,73,111,,,69,,86,78,,,,,,101,99,,,,,60,,87,,,,,62,,89,81,90,93,,,,86,68,,92,,55,,
2021,162,,52,,88,,,,,52,,92,,,71,,93,83,,,,,,,80,,,,,,74,,,,,,,,,77,,,,,95,,,,,,,74,,77,106,,,67,,95,73,,,,,,77,92,,,,,86,,82,,,,,61,,79,107,90,90,,,,100,60,,91,,65,,
2020,60,,25,,35,,,,,25,,24,,,34,,35,31,,,,,,,35,,,,,,26,,,,,,,,,23,,,,,29,,,,,,,26,,26,43,,,31,,29,36,,,,,,26,33,,,,,36,,28,,,,,19,,37,29,27,30,,,,40,22,,32,,26,,
2019,162,,85,,97,,,,,54,,84,,,84,,72,75,,,,,,,93,,,,,,71,,,,,,,,,47,,,,,107,,,,,,,59,,72,106,,,57,,89,101,,,,,,86,103,,,,,97,,81,,,,,69,,70,77,68,91,,,,96,78,,67,,93,,
2018,163,,82,,90,,,,,47,,108,,,95,,62,67,,,,,,,91,,,,,,91,,,,,,,,,64,,,,,103,,,,,,,58,,80,92,,,63,,96,78,,,,,,77,100,,,,,97,,80,,,,,82,,66,73,89,88,,,,90,67,,73,,82,,
2017,162,,93,,72,,,,,75,,93,,,92,,67,68,,,,,,,102,,,,,,87,,,,,,,,,64,,,,,101,,,,,,,80,,80,104,,,77,,86,85,,,,,,70,91,,,,,75,,66,,,,,75,,71,64,78,83,,,,80,78,,76,,97,,
2016,162,,69,,68,,,,,89,,93,,,103,,78,68,,,,,,,94,,,,,,75,,,,,,,,,86,,,,,84,,,,,,,81,,74,91,,,79,,73,59,,,,,,87,84,,,,,69,,71,,,,,78,,68,87,86,86,,,,68,95,,89,,95,,
2015,162,,79,,67,,,,,81,,78,,,97,,76,64,,,,,,,81,,,,,,68,,,,,,,,,74,,,,,86,,,,,,,95,,85,92,,,71,,68,83,,,,,,90,87,,,,,68,,63,,,,,98,,74,84,76,100,,,,80,88,,93,,83,,
2014,162,,64,,79,,,,,96,,71,,,73,,73,76,,,,,,,85,,,,,,66,,,,,,,,,90,,,,,70,,,,,,,89,,98,94,,,77,,82,70,,,,,,79,84,,,,,88,,73,,,,,88,,77,88,87,90,,,,77,67,,83,,96,,
